release,release_date,filename,url,md5_hash
DepMap Public 24Q4,2024-12-16,ScreenSequenceMap.csv,https://ndownloader.figshare.com/files/51065828,401ceaf675bfba78942be3c8546ef558
DepMap Public 24Q4,2024-12-16,README.txt,https://ndownloader.figshare.com/files/51065795,54628c15a10b9ff6536db245cfed5231
DepMap Public 24Q4,2024-12-16,ScreenGeneEffect.csv,https://ndownloader.figshare.com/files/51065804,35d57d08147456fdb3a3e46359aff179
DepMap Public 24Q4,2024-12-16,ScreenGeneEffectUncorrected.csv,https://ndownloader.figshare.com/files/51065807,fa6a37a29bb7021dcfaab3c0e681edf7
DepMap Public 24Q4,2024-12-16,ScreenNaiveGeneScore.csv,https://ndownloader.figshare.com/files/51065810,0620878321e6ee1a81197658f9edf659
DepMap Public 24Q4,2024-12-16,ScreenGeneDependency.csv,https://ndownloader.figshare.com/files/51065801,2be16b26efe0111fdddeb6a4bedb373f
DepMap Public 24Q4,2024-12-16,CRISPRScreenMap.csv,https://ndownloader.figshare.com/files/51065159,dda4409d030d486e8a66915990731a62
DepMap Public 24Q4,2024-12-16,CRISPRGeneEffect.csv,https://ndownloader.figshare.com/files/51064667,6edf7ade09b9b34199210b559d4745d3
DepMap Public 24Q4,2024-12-16,CRISPRGeneEffectUncorrected.csv,https://ndownloader.figshare.com/files/51064880,e676d7be715a902f315e0f996954fa7c
DepMap Public 24Q4,2024-12-16,CRISPRInferredLibraryEffect.csv,https://ndownloader.figshare.com/files/51064952,07f7022362c7e46fa91ce848f114479f
DepMap Public 24Q4,2024-12-16,CRISPRInitialOffset.csv,https://ndownloader.figshare.com/files/51065120,f5be2b1b6938b76a292d99e5556fd61d
DepMap Public 24Q4,2024-12-16,CRISPRGeneDependency.csv,https://ndownloader.figshare.com/files/51064631,0d3bdadf0c59264e39f7fbadf232ccdb
DepMap Public 24Q4,2024-12-16,CRISPRInferredGuideEfficacy.csv,https://ndownloader.figshare.com/files/51064919,db6d7628d6a545180763ff179af246b6
DepMap Public 24Q4,2024-12-16,CRISPRInferredModelGrowthRate.csv,https://ndownloader.figshare.com/files/51065027,0a3ff506d991f3f5f9a308b18c39bf5c
